Period,Non-farm Payroll
2022-10-01,261000.0
2022-09-01,263000.0
2022-08-01,315000.0
2022-07-01,528000.0
2022-06-01,372000.0
2022-05-01,390000.0
2022-04-01,428000.0
2022-03-01,431000.0
2022-02-01,678000.0
2022-01-01,467000.0
2021-12-01,199000.0
2021-11-01,210000.0
2021-10-01,531000.0
2021-09-01,194000.0
2021-08-01,235000.0
2021-07-01,943000.0
2021-06-01,850000.0
2021-05-01,559000.0
2021-04-01,266000.0
2021-03-01,916000.0
2021-02-01,379000.0
2021-01-01,49000.0
2020-12-01,-140000.0
2020-11-01,245000.0
2020-10-01,638000.0
2020-09-01,661000.0
2020-08-01,1371000.0
2020-07-01,1763000.0
2020-06-01,4800000.0
2020-05-01,2509000.0
2020-04-01,-20537000.0
2020-03-01,-701000.0
2020-02-01,273000.0
2020-01-01,225000.0
2019-12-01,145000.0
2019-11-01,266000.0
2019-10-01,128000.0
2019-09-01,136000.0
2019-08-01,130000.0
2019-07-01,164000.0
2019-06-01,224000.0
2019-05-01,75000.0
2019-04-01,263000.0
2019-03-01,196000.0
2019-02-01,20000.0
2019-01-01,304000.0
2018-12-01,312000.0
2018-11-01,155000.0
2018-10-01,250000.0
2018-09-01,134000.0
2018-08-01,201000.0
2018-07-01,157000.0
2018-06-01,213000.0
2018-05-01,223000.0
2018-04-01,164000.0
2018-03-01,103000.0
2018-02-01,313000.0
2018-01-01,200000.0
2017-12-01,148000.0
2017-11-01,228000.0
2017-10-01,261000.0
2017-09-01,-33000.0
2017-08-01,156000.0
2017-07-01,209000.0
2017-06-01,222000.0
2017-05-01,138000.0
2017-04-01,211000.0
2017-03-01,98000.0
2017-02-01,235000.0
2017-01-01,227000.0
2016-12-01,156000.0
2016-11-01,178000.0
2016-10-01,161000.0
2016-09-01,156000.0
2016-08-01,151000.0
2016-07-01,255000.0
2016-06-01,287000.0
2016-05-01,38000.0
2016-04-01,160000.0
2016-03-01,215000.0
2016-02-01,242000.0
2016-01-01,151000.0
2015-12-01,292000.0
2015-11-01,211000.0
2015-10-01,271000.0
2015-09-01,142000.0
2015-08-01,173000.0
2015-07-01,215000.0
2015-06-01,223000.0
2015-05-01,280000.0
2015-04-01,223000.0
2015-03-01,126000.0
2015-02-01,295000.0
2015-01-01,257000.0
2014-12-01,252000.0
2014-11-01,321000.0
2014-10-01,214000.0
2014-09-01,248000.0
2014-08-01,142000.0
2014-07-01,209000.0
2014-06-01,288000.0
2014-05-01,217000.0
2014-04-01,288000.0
2014-03-01,192000.0
2014-02-01,175000.0
2014-01-01,113000.0
2013-12-01,74000.0
2013-11-01,203000.0
2013-10-01,204000.0
2013-09-01,148000.0
2013-08-01,169000.0
2013-07-01,162000.0
2013-06-01,195000.0
2013-05-01,175000.0
2013-04-01,165000.0
2013-03-01,88000.0
2013-02-01,236000.0
2013-01-01,157000.0
2012-12-01,155000.0
2012-11-01,146000.0
2012-10-01,171000.0
2012-09-01,114000.0
2012-08-01,96000.0
2012-07-01,163000.0
2012-06-01,80000.0
2012-05-01,69000.0
2012-04-01,115000.0
2012-03-01,120000.0
2012-02-01,227000.0
2012-01-01,243000.0
2011-12-01,200000.0
2011-11-01,120000.0
2011-10-01,80000.0
2011-09-01,103000.0
2011-08-01,0.0
2011-07-01,117000.0
2011-06-01,18000.0
2011-05-01,54000.0
2011-04-01,244000.0
2011-03-01,216000.0
2011-02-01,192000.0
2011-01-01,36000.0
2010-12-01,103000.0
2010-11-01,39000.0
2010-10-01,151000.0
2010-09-01,-95000.0
2010-08-01,-54000.0
2010-07-01,-131000.0
2010-06-01,-125000.0
2010-05-01,431000.0
2010-04-01,290000.0
2010-03-01,162000.0
2010-02-01,-36000.0
2010-01-01,-20000.0
2009-12-01,-85000.0
2009-11-01,-11000.0
2009-10-01,-190000.0
2009-09-01,-263000.0
2009-08-01,-216000.0
2009-07-01,-247000.0
2009-06-01,-467000.0
2009-05-01,-345000.0
2009-04-01,-539000.0
2009-03-01,-663000.0
2009-02-01,-651000.0
2009-01-01,-598000.0
2008-12-01,-524000.0
2008-11-01,-533000.0
2008-10-01,-240000.0
2008-09-01,-159000.0
2008-08-01,-84000.0
2008-07-01,-51000.0
2008-06-01,-62000.0
2008-05-01,-49000.0
2008-04-01,-20000.0
2008-03-01,-80000.0
2008-02-01,-63000.0
2008-01-01,-17000.0
2007-12-01,18000.0
2007-11-01,94000.0
2007-10-01,166000.0
2007-09-01,110000.0
2007-08-01,-4000.0
2007-07-01,92000.0
2007-06-01,132000.0
2007-05-01,157000.0
2007-04-01,88000.0
2007-03-01,180000.0
2007-02-01,97000.0
2007-01-01,111000.0
2006-12-01,167000.0
2006-11-01,132000.0
2006-10-01,92000.0
2006-09-01,51000.0
2006-08-01,128000.0
2006-07-01,113000.0
2006-06-01,121000.0
2006-05-01,75000.0
2006-04-01,138000.0
2006-03-01,211000.0
2006-02-01,243000.0
2006-01-01,193000.0
2005-12-01,108000.0
2005-11-01,215000.0
2005-10-01,56000.0
2005-09-01,-35000.0
2005-08-01,169000.0
2005-07-01,207000.0
2005-06-01,146000.0
2005-05-01,78000.0
2005-04-01,274000.0
2005-03-01,110000.0
2005-02-01,262000.0
2005-01-01,146000.0
2004-12-01,157000.0
2004-11-01,112000.0
2004-10-01,337000.0
2004-09-01,96000.0
2004-08-01,144000.0
2004-07-01,32000.0
2004-06-01,112000.0
2004-05-01,248000.0
